Equity issue, day of week, description (from line)
1895-12-12, Thursday,  The wife of Mr. Frederick Griffith moulder of London Ont. gave birth to triplets on Thursday two ho vs and a girl. All are healthy and well formed. The couple have I wen married fifteen years and have had eleven children. On the first occasion Mrs. Griffith presented her husband with twins.
1895-12-12, yesterday,  reading in the Victoria Legislature. servative and was elected without op-Count von Taafe the Austrian states- position man died yesterday morning at Ellis- The Board of Agriculture him Issued him Bohemia lie was sixty- wo ><mis	^ onjer forbidding the importation of
1895-12-12, Monday,  and the Turkish palace	party	ls	very	the Queen City mills on	Monday even-	8Urfa e Tb' l*o les lieHeved to bs in the
1895-12-12, Tuesday,  A purse was presented to Dr. Barnar-do in London on Tuesday butt in recognition of his good work in founding for destitute children in London
1895-12-12, per day,  A company is being formed by the citizens of Leamington to establish a bet't sugar factory with a capacity or 1000 tons of beets per day.
1895-12-12, Saturday,  Mr. Samuel Davis founder of the great cigar-manufacturing firm of 8. l>avis & Sons of Montreal died in that city on Saturday afternoon in his sixty-first year.
1895-12-12, Saturday,  Mr. Andrew Gregory Hill Police Magistrate of the Counties of Welland d Lincoln died at his home in Ni-Falls. Ont. on Saturday night
1895-12-12, Monday,  A penniless tramp named Maurice Barker who slept in a Hamilton police station on Sunday night Monday morning received a draft for fifteen hundred sterling from England being his share of his father's estate.
1895-12-12, giving day,  n^sti ^en U>* 1 rance % *scerain	giving day preached a sermon on law-
1895-12-12, three day,  A Manchester photographer relates that he recently took a photograph of a child who was apparently in good health and had a clear skin. The negative showed the face to be thickly covered with an eruption. Three days afterward the child was covered with spots due to prickly heat. The camera had seen and photographed the eruption three days before it was visible to the naked eye. It is said that another case of a similar kind is recorded where a child showed spots on ais portrait which were invisible on his face a fortnight previous to ah attack of smallpox.
1895-12-12, before day,  functionaries were so indignant at his proceeding that they jumped up from their seats insisted upon the Queen's leaving the apartment and charged the performer with high treason. The unfortunate man bad to lie protected by the native troops from the fury of the populace and was compelled to b the capital before daybreak
1895-12-12, ten day,  brings back the feelings of Wy youth to the pre-/ maturely old man. It restores lost vigor. | You may gain ten pounds in ten days.
1895-12-12, some day,  A suggestion made by the Mail and Empire some days ago that Hi# Royal Highneaa the Prince of Wales should be
1895-12-12, holiday,  holiday purchases
1895-12-12, Saturday,  leave England on Saturday 7th inat. by land in 1846 the immediate effect was
1895-12-12, Tuesday,  I wish to inform the inhabitants of Bristol Ridge and surrounding country that on Tuesday December 3rd I intend opening up my new Blacksmith Shop at
1895-12-12, Sunday,  having occurred several Sundays in
1895-12-12, the day,  In the course of the day I received"'*" recognised it as his uncle's and a de-
1895-12-12, Sunday,  breadth 15 feet 2 inches depth 10 feet nav ing occurred several Sundays in suo-displacement fully loaded. 186 tons cession the elder in charge of the plate The toilers are of the Normand water- at last lost patience and blurted out: tube type the engines triple expansion; "We cud dae wi' leas o' yer manners on one hour's run the mean speed was an' inair o' yer siller ma leddy.
1895-12-12, Sunday,  British navy. She ia three hundred feet I Lmt on or about Sunday. November 34th I pUHMC NOTICE la hereby given that the
1895-12-12, Friday,  Friday Dec. 13 inst.
1895-12-12, few day,  Ottawa will shortly have a sanitarium for the treatment of consumption catarrh asthma and bronchitis by the new method of inhalation^ Mr. D. D. Wilson |S HEREBY GIVEN that a plication will manager of the Toronto Sanitarium has 1 be made by the Pontiac Pacific Junction been in the city for the past few days Railway Company to the Parliament of
Binary file 1895-12-12,  matches
1895-12-19, Monday,  Spend Christmas ereolng with your bor*00 Monday morning.
1895-12-19, 	.	..  . "hots of the county will have an oppor
1895-12-19, 	SHEENE
1895-12-19, Thursday,  Will be at Shawvllleflret Thursday ofeaeb
1895-12-19, Sunday,  At North Bay on Sunday last Mr.
1895-12-19, Tuesday,  Previous to the inquest on the death of gam Esa. of Quyon passed away at the Andrew Easton the Free Praia learned age of 32 years. His remains were a most pathetic detail. It appeared that brought to Quyon for interment and on Mr. Easton had joined the Missing Link Tuesday were deposited in the burial lodge of the Brotherhood of Railway ground at Pontiac. The six brothers of Trainmen while residing and working in the deceased acted a# pall bearers. The
1895-12-19, of day,  rather tall of light complexion and of days were required to make the Huy-	against the door jumped out at the	slaves their meetings had to be held in	HKAUY iu uu anu mr
1895-12-19, Thursday,  Thursday last was the annirersary of the death of Kir. John Thompson
1895-12-19, other day,  It was a rather Intelligent blunder a Liberal ootemporary made the other day in referring to the * "slippery " eloquence
1895-12-19, to day,  of Deputies to day that the tive oompan	m
1895-12-19, Thursday,  umn under the command of Major Toe Secretary of the Independent Older of selli ODornting in Abyssinia hid been Foresters warn elected to the House of surprised and surrounded by a force of Commons for North Ontario on Thursday 25000 natives and that only a small pori by a prurality of 607 votes. The poll tion of the command had succeeded in stood breaking through the beleaguering lines McGillivray Conservative
1895-12-19, Wednesday,  was sent to the Premier on Wednesday b* "old cheap. Apniy ot
1895-12-19, Sunday,  Soldiers in the Italian army or the natives tablieh a tnonoply of this kind furnishes previously favorable to Italian colonial the chief ground for our taking up the authority. Up to Sunday the advices question at all. We do not see with Mr. as/ the enemy had not advanced.	| Harris how placing all the lakes in a dis.
1895-12-19, FtmtltTH day,  followed by Dr. Rockwell. Ac rights of others.	on or before lhe FtmtltTH day of Dk- cerauer "
1895-12-19, Tuesday,  toi Ridge and surrounding country that Tuesday December 3rd I intend opening up iny new Blacksmith Shop at Bristol Ridge (next door to Post Office) and having procured the services of a first class mechanic I will be prepared to do
1895-12-19, Take courage t hen 1 For night shall turn to day
1895-12-19, the day,  I Fk-mgum mountain i The married sons I and their families j always gathered at I the ancestral home I to enjoy the festivities of the day. Great excitement on this occasion therefore prevailed at the Hval-stad station when the parents children and bundles descended from the train which had Iwen heralded by the little engine with its snow plow.
1895-12-19, dandiest day,  Say ! it was de dandiest day you bet That any bloomin' boy had ever yet.
1895-12-19, intermediate day,  It is considered particularly lucky when Christmas falls on Sunday and the reverse when it comes on Saturday. The intermediate days are for the most part propitious. It is believed in Devonshire that if the sun shines bright at noon on Christmas there will be a good crop of apples the following autumn. Every one knows the other old tradition to the effect that a green Christmas will make a full graveyard.
1895-12-19, Holiday,  Offers Special inducements during the Holiday Season in all lines of
1895-12-19, Thursday,  Ten characters constitute "Among the Breakers/' embracing comedy tragedy journalism and lore. Thursday Dec. 86th Walsh's Hall.
1895-12-19, Monday,  Monday's Ottawa Journal reports as follows :
1895-12-19, Sunday,  a hair cut every day in the week except Sunday.
1895-12-19, Sunday,  ?th Sunday in Advent ; Mod Dec. 1895.
1895-12-19, Christmas day,  Christmas day 8. George's P. D. Port;
1895-12-19,  #
1895-12-19, holiday,  ward* it u at n rinir windows were adorn-	Thereafter every hymn and chant and	gallop as he answered "I'm afraid it's	voice and he could not screw up his	the holidays or perhaps the daughter
1895-12-19, Baturday,  Baturday	night tendered	in	Montreal	adjustment have I men generally aband-	r^thy at the death of General Sir	that country produce lumber etc. is	tensively made of glass. A X enetian
1895-12-19, Thursday,  launched at Glasgow.	William	Becker a young	moulder	and Queen of	Italy are also expected	small when the large turnover is taken	manufactured from	the fiber of a pelt is reported that Great Britain in- saved the	life of a stranger	near Buf-	to he present	upon that occasion.	into consideration. There is keen com-	culiar filamentous stone from the intends establishing a protectorate over falo on Thursday night by pushing	The Prince of Wales will spend	petition in most lines and the large	Iwrian mines which by some secret pro-
